time,lvl_1,lvl_2,lvl_3,lvl_4,lvl_5,lvl_6,lvl_7,lvl_8,lvl_9
10,5,5,5,6,6.0,8.0,8.0,8.0,9
20,4,5,5,6,7.0,8.0,8.0,8.0,9
30,4,5,6,6,7.0,7.0,8.0,9.0,9
40,4,5,6,6,7.0,7.0,8.0,9.0,9
50,4,5,6,6,7.0,7.0,8.0,9.0,9
60,4,5,6,6,7.0,7.0,8.0,9.0,9
70,4,4,6,6,7.0,7.0,8.0,9.0,9
80,4,4,5,6,7.0,7.0,8.0,9.0,9
90,4,4,5,6,7.0,7.0,8.0,9.0,9
100,4,4,6,6,7.0,7.0,8.0,9.0,9
110,3,4,6,6,7.0,7.0,8.0,9.0,9
120,3,4,6,6,7.0,7.0,8.0,9.0,9
130,3,4,6,6,7.0,7.0,8.0,9.0,9
140,3,4,6,6,7.0,7.0,8.0,9.0,9
150,3,4,6,6,7.0,7.0,8.0,9.0,9
160,3,4,6,6,7.0,7.0,8.0,9.0,9
170,3,4,6,6,7.0,7.0,8.0,9.0,9
180,3,4,6,6,7.0,7.0,8.0,9.0,9
